id,cijena,naziv , vrsta_artikala
1, 3090.99, Perilica posuđa , Kućanski aparati
2, 3599.99, Perilica rublja , Kućanski aparati
3, 4199.99, Hladnjak, Kućanski aparati
4, 3199.99, Sušilica rublja, Kućanski aparati
5, 349.99, Aparat za kavu, Kućanski aparati
6, 419.99, Mikser, Kućanski aparati
7, 239.99, Blander, Kućanski aparati
8, 549.99, Toster, Kućanski aparati
9, 2169.99, Mobitel, Elektronika
10, 2399.99, Tablet, Elektronika
11, 4589.99, Televizor, Elektronika
12, 1679.99, Pametni sat, Elektronika
13, 1099.99, Auto gume , Auto i Moto oprema
14, 772.98, Moto gume, Auto i Moto oprema
15, 249.99, Ratkape, Auto i Moto oprema
16, 859.49, Aluminiski naplatci, Auto i Moto oprema
17, 529.49, Čelični  naplatci, Auto i Moto oprema
